Month,mean_concentration,std_concentration,count,location,year,date,latitude_zone
3,252.34230995178223,7.8494104376664495,8,tarapoto,2021,2021-03-01,2
4,248.3393984707919,8.35736722606756,11,tarapoto,2021,2021-04-01,2
5,244.3636016845703,18.12679617483162,6,tarapoto,2021,2021-05-01,2
6,248.40632798936633,11.332753395531993,9,tarapoto,2021,2021-06-01,2
7,259.126900990804,12.308345263982801,12,tarapoto,2021,2021-07-01,2
8,251.35689838115985,13.57503246872289,13,tarapoto,2021,2021-08-01,2
9,240.74085998535156,3.9478042628226806,2,tarapoto,2021,2021-09-01,2
10,257.8697479248047,16.380633099525838,10,tarapoto,2021,2021-10-01,2
11,261.82655944824216,14.69769830627848,10,tarapoto,2021,2021-11-01,2
12,235.6579704284668,10.174205532599556,4,tarapoto,2021,2021-12-01,2
1,103.6350466410319,14.533206316193713,24,tasmania,2005,2005-01-01,3
2,105.95986302693684,12.459665583702767,18,tasmania,2005,2005-02-01,3
3,111.13610521952312,11.167424372462495,24,tasmania,2005,2005-03-01,3
4,122.81362448798285,16.428686908899202,18,tasmania,2005,2005-04-01,3
5,120.88268152872722,19.1741609412582,18,tasmania,2005,2005-05-01,3
6,129.57131921677362,22.537727964838197,21,tasmania,2005,2005-06-01,3
7,124.5428113937378,14.109265063402292,24,tasmania,2005,2005-07-01,3
8,153.07365926106772,27.879050965134077,24,tasmania,2005,2005-08-01,3
9,137.89905344645183,9.594230553334999,15,tasmania,2005,2005-09-01,3
10,124.6728582943187,13.047730513903785,17,tasmania,2005,2005-10-01,3
11,125.71065839131673,10.569828125450147,12,tasmania,2005,2005-11-01,3
12,122.44552176339286,17.67857665959917,14,tasmania,2005,2005-12-01,3
1,113.60760688781738,10.364954726067152,16,tasmania,2006,2006-01-01,3
2,116.1495475769043,9.646282258696127,16,tasmania,2006,2006-02-01,3
3,128.87078857421875,10.057720504077684,12,tasmania,2006,2006-03-01,3
4,121.04640045166016,14.194411281113092,10,tasmania,2006,2006-04-01,3
5,140.62130403518677,19.063058896777235,16,tasmania,2006,2006-05-01,3
6,140.58297788179837,13.84248890114527,13,tasmania,2006,2006-06-01,3
7,151.17094148908342,20.265020868048623,14,tasmania,2006,2006-07-01,3
8,141.57985496520996,19.42025260652948,16,tasmania,2006,2006-08-01,3
9,117.37967618306477,7.563549969754687,12,tasmania,2006,2006-09-01,3
10,106.50365416208903,12.44258445219043,24,tasmania,2006,2006-10-01,3
11,113.06305198669433,8.350035223699576,20,tasmania,2006,2006-11-01,3
12,103.43955492973328,37.68823366566227,16,tasmania,2006,2006-12-01,3
1,115.05936288833618,9.517388346111225,16,tasmania,2007,2007-01-01,3
2,102.4876823425293,7.353649911004593,12,tasmania,2007,2007-02-01,3
3,106.89674922398159,11.220591658709738,14,tasmania,2007,2007-03-01,3
4,119.01699829101562,16.95743971326885,18,tasmania,2007,2007-04-01,3
5,127.36112939743768,18.91512051031296,21,tasmania,2007,2007-05-01,3
6,156.28788558296534,24.141800516856847,23,tasmania,2007,2007-06-01,3
7,157.00085000430838,16.384825504146196,17,tasmania,2007,2007-07-01,3
8,142.76298195975167,19.391242261490195,21,tasmania,2007,2007-08-01,3
9,150.86988631538722,12.016978727564709,23,tasmania,2007,2007-09-01,3
10,155.1291987101237,13.167384334009693,24,tasmania,2007,2007-10-01,3
11,143.24154961627463,11.18498145144534,23,tasmania,2007,2007-11-01,3
12,136.83445119857788,11.38706049134566,16,tasmania,2007,2007-12-01,3
1,114.78442427691292,15.228222530092435,17,tasmania,2008,2008-01-01,3
2,133.95975259634164,8.617645671965402,13,tasmania,2008,2008-02-01,3
3,127.9209230863131,11.244055605019353,13,tasmania,2008,2008-03-01,3
4,147.5429415021624,16.78677193336155,14,tasmania,2008,2008-04-01,3
5,160.894896371024,23.513865405955375,14,tasmania,2008,2008-05-01,3
6,179.84073965890067,25.32331382148438,14,tasmania,2008,2008-06-01,3
7,151.77058955601282,12.736229167561087,14,tasmania,2008,2008-07-01,3
8,147.63961505889893,16.156418128692007,16,tasmania,2008,2008-08-01,3
9,130.18217233511118,12.093841243024388,13,tasmania,2008,2008-09-01,3
10,117.52179158528646,9.763386044574688,15,tasmania,2008,2008-10-01,3
11,127.5980155251243,17.850326460704245,11,tasmania,2008,2008-11-01,3
12,125.48275995254517,15.523509490060732,16,tasmania,2008,2008-12-01,3
1,115.74211406707764,8.986609407988132,16,tasmania,2009,2009-01-01,3
2,120.33563375473022,7.799231956599762,16,tasmania,2009,2009-02-01,3
3,109.18425859723773,10.950076478500224,14,tasmania,2009,2009-03-01,3
4,136.24540662765503,15.71600798920366,16,tasmania,2009,2009-04-01,3
5,138.95135056345086,20.758626128210448,19,tasmania,2009,2009-05-01,3
6,136.6649050505265,19.790480618656275,23,tasmania,2009,2009-06-01,3
7,133.76504689996892,16.44112150776463,22,tasmania,2009,2009-07-01,3
8,149.8761961195204,36.68179898498893,18,tasmania,2009,2009-08-01,3
9,145.8723081505817,29.271397043553012,23,tasmania,2009,2009-09-01,3
10,142.90193939208984,6.995353266571272,15,tasmania,2009,2009-10-01,3
11,136.72746380892667,18.785283720323577,22,tasmania,2009,2009-11-01,3
12,106.6573896408081,43.01638932388587,20,tasmania,2009,2009-12-01,3
1,121.38548569452195,11.41815166251722,21,tasmania,2010,2010-01-01,3
2,115.46852366129558,10.969105451252108,18,tasmania,2010,2010-02-01,3
3,122.96524919782367,13.104059474873027,14,tasmania,2010,2010-03-01,3
4,130.4217227438222,11.174849820168832,23,tasmania,2010,2010-04-01,3
5,135.71652949940074,23.02732313234168,22,tasmania,2010,2010-05-01,3
6,145.35614703950426,18.335506114198,21,tasmania,2010,2010-06-01,3
7,163.33734893798828,19.808940985211095,18,tasmania,2010,2010-07-01,3
8,158.8780379295349,26.363285839372697,16,tasmania,2010,2010-08-01,3
9,171.56145222981772,10.403758930611003,21,tasmania,2010,2010-09-01,3
10,155.9921635219029,12.953117034477197,21,tasmania,2010,2010-10-01,3
11,168.54922485351562,7.666235704437579,20,tasmania,2010,2010-11-01,3
12,147.60056648254394,25.775966235395675,20,tasmania,2010,2010-12-01,3
1,149.1585469563802,9.607483449919691,15,tasmania,2011,2011-01-01,3
2,129.87830861409506,10.636617720864221,9,tasmania,2011,2011-02-01,3
3,162.1289602915446,18.900157987945928,12,tasmania,2011,2011-03-01,3
4,154.4961533979936,16.892710310639345,11,tasmania,2011,2011-04-01,3
5,165.51372909545898,23.54642612741596,22,tasmania,2011,2011-05-01,3
6,177.7489471435547,18.252105949227072,16,tasmania,2011,2011-06-01,3
7,160.78597295851935,10.942341512553195,21,tasmania,2011,2011-07-01,3
8,166.4571975708008,14.00402172175224,20,tasmania,2011,2011-08-01,3
9,177.05928280479029,20.333096329306624,19,tasmania,2011,2011-09-01,3
10,167.74245677274817,17.804219182505612,17,tasmania,2011,2011-10-01,3
11,149.74915161132813,14.142074172031515,15,tasmania,2011,2011-11-01,3
12,131.78253064836775,17.692649783852758,14,tasmania,2011,2011-12-01,3
1,137.02588748931885,14.676757546088737,16,tasmania,2012,2012-01-01,3
2,121.30601501464844,11.33967870849452,14,tasmania,2012,2012-02-01,3
3,126.92043576921735,8.186835056850125,14,tasmania,2012,2012-03-01,3
4,162.49457702636718,21.8823254550605,10,tasmania,2012,2012-04-01,3
5,147.26342234892005,16.704281368517208,17,tasmania,2012,2012-05-01,3
6,148.6222930181594,24.73217371131264,21,tasmania,2012,2012-06-01,3
7,166.70773010253907,14.888788709353811,20,tasmania,2012,2012-07-01,3
8,172.04519805908203,11.592439277461454,20,tasmania,2012,2012-08-01,3
9,149.13545989990234,23.962509960311817,19,tasmania,2012,2012-09-01,3
10,172.9163614908854,12.269140038454717,9,tasmania,2012,2012-10-01,3
11,172.81559592799135,14.01622428674546,19,tasmania,2012,2012-11-01,3
12,158.68732604980468,15.093506761316169,15,tasmania,2012,2012-12-01,3
1,148.83031005859374,12.090758851416966,15,tasmania,2013,2013-01-01,3
2,143.51007715861002,8.582164642430541,12,tasmania,2013,2013-02-01,3
3,141.19520677839006,10.06114662944977,14,tasmania,2013,2013-03-01,3
4,134.19136223426233,8.882965826573242,13,tasmania,2013,2013-04-01,3
5,167.50768594180838,26.128190784193023,17,tasmania,2013,2013-05-01,3
6,162.30801429748536,22.637806312675277,20,tasmania,2013,2013-06-01,3
7,146.76373375786676,15.453187747114466,18,tasmania,2013,2013-07-01,3
8,126.04341541637073,14.685704186122763,22,tasmania,2013,2013-08-01,3
9,99.98872420367073,11.901544035862717,17,tasmania,2013,2013-09-01,3
10,106.37011375427247,15.325561906073247,20,tasmania,2013,2013-10-01,3
11,120.430908203125,10.800016988651976,11,tasmania,2013,2013-11-01,3
12,98.10658502578735,11.45408215729738,16,tasmania,2013,2013-12-01,3
1,114.04779529571533,8.442826010191634,16,tasmania,2014,2014-01-01,3
2,106.03214200337727,14.546085870334338,12,tasmania,2014,2014-02-01,3
3,109.91431786032284,12.30850227940975,17,tasmania,2014,2014-03-01,3
4,102.76628076462518,14.438789431139236,21,tasmania,2014,2014-04-01,3
5,136.87359819914164,21.993347751675415,19,tasmania,2014,2014-05-01,3
6,152.25276344700865,35.95989230486358,19,tasmania,2014,2014-06-01,3
7,149.91163357821378,9.028674349397726,22,tasmania,2014,2014-07-01,3
8,133.16249774751208,9.603807592548925,21,tasmania,2014,2014-08-01,3
9,129.2939906873201,12.984381462179744,19,tasmania,2014,2014-09-01,3
10,122.57407474517822,10.926882861490666,16,tasmania,2014,2014-10-01,3
11,121.26490238734654,11.478543091386271,7,tasmania,2014,2014-11-01,3
12,112.46091690063477,16.98514898271005,10,tasmania,2014,2014-12-01,3
1,117.12973480224609,14.474863379493673,15,tasmania,2015,2015-01-01,3
2,112.39687156677246,8.398709870196946,16,tasmania,2015,2015-02-01,3
3,127.80746714274089,13.883030019202405,9,tasmania,2015,2015-03-01,3
4,113.81421165466308,12.932412128018273,20,tasmania,2015,2015-04-01,3
5,135.33626520066034,21.906601839280267,21,tasmania,2015,2015-05-01,3
6,165.54485999213324,25.37451889774686,18,tasmania,2015,2015-06-01,3
7,169.27427772853684,20.619118995595787,23,tasmania,2015,2015-07-01,3
8,154.41992899576823,9.389088881731347,15,tasmania,2015,2015-08-01,3
9,149.47675069173178,13.65756506789402,15,tasmania,2015,2015-09-01,3
10,139.936403910319,18.36079458321759,18,tasmania,2015,2015-10-01,3
11,145.89532165527345,17.877523410568035,15,tasmania,2015,2015-11-01,3
12,148.8436716715495,21.33040076483066,15,tasmania,2015,2015-12-01,3
1,112.58322715759277,25.657912202271035,12,tasmania,2016,2016-01-01,3
2,138.3253370920817,15.343454767398105,12,tasmania,2016,2016-02-01,3
3,138.87239456176758,19.251893543888542,12,tasmania,2016,2016-03-01,3
4,156.756957644508,17.78200762233964,21,tasmania,2016,2016-04-01,3
5,134.14501120827416,11.54540513440827,22,tasmania,2016,2016-05-01,3
6,161.23213386535645,27.221058605717566,24,tasmania,2016,2016-06-01,3
7,144.9609675687902,23.101103620540982,17,tasmania,2016,2016-07-01,3
8,140.79817244585823,20.117719724608186,17,tasmania,2016,2016-08-01,3
9,117.1750026029699,13.36371614490671,17,tasmania,2016,2016-09-01,3
10,123.00238376193576,14.810812054123451,18,tasmania,2016,2016-10-01,3
11,116.78682279586792,21.235692869601664,16,tasmania,2016,2016-11-01,3
12,124.16226243972778,18.010872967944994,16,tasmania,2016,2016-12-01,3
1,125.71905586936258,19.064267320326852,11,tasmania,2017,2017-01-01,3
2,129.18480224609374,16.12215644518625,10,tasmania,2017,2017-02-01,3
3,117.14011342901932,9.197310828306428,19,tasmania,2017,2017-03-01,3
4,143.45136489868165,19.509534072590192,20,tasmania,2017,2017-04-01,3
5,150.01986821492514,21.45525497860346,18,tasmania,2017,2017-05-01,3
6,131.64690475463868,30.172215881293965,10,tasmania,2017,2017-06-01,3
7,141.53269757722555,21.724461626136332,19,tasmania,2017,2017-07-01,3
8,129.97866096496583,12.344245882079818,20,tasmania,2017,2017-08-01,3
9,125.39653065999349,12.132105859835312,15,tasmania,2017,2017-09-01,3
10,132.0423627580915,14.644823537243775,14,tasmania,2017,2017-10-01,3
11,141.44725581577845,6.385274724999167,14,tasmania,2017,2017-11-01,3
12,111.24655723571777,17.554029017080534,12,tasmania,2017,2017-12-01,3
1,127.35422372817993,14.881659502249073,16,tasmania,2018,2018-01-01,3
2,129.52113676071167,8.835319664924457,16,tasmania,2018,2018-02-01,3
3,121.03735466003418,21.62575282253624,20,tasmania,2018,2018-03-01,3
4,140.24947102864584,28.627121245996417,18,tasmania,2018,2018-04-01,3
5,123.53607139587402,18.362418459858805,20,tasmania,2018,2018-05-01,3
6,135.85454940795898,8.6017420817379,14,tasmania,2018,2018-06-01,3
7,160.8786989847819,23.41483099498089,12,tasmania,2018,2018-07-01,3
8,173.7205092486213,16.82382189462929,17,tasmania,2018,2018-08-01,3
9,178.66434478759766,9.40711458643381,16,tasmania,2018,2018-09-01,3
10,177.16526794433594,10.450695679527552,11,tasmania,2018,2018-10-01,3
11,168.83436853745405,13.804635433273628,17,tasmania,2018,2018-11-01,3
12,140.27562354592715,16.189215347501065,17,tasmania,2018,2018-12-01,3
1,137.3085091908773,11.868565951411842,12,tasmania,2019,2019-01-01,3
2,144.8726406097412,12.44312400881331,12,tasmania,2019,2019-02-01,3
3,128.382502419608,13.339533552209064,14,tasmania,2019,2019-03-01,3
