Month,mean_concentration,std_concentration,count,location,year,date,latitude_zone
12,3.502302779091729,0.19273148037620694,9,tarapoto,2011,2011-12-01,2
1,3.3154953916867576,0.1791612925349189,12,tarapoto,2012,2012-01-01,2
2,3.386151181326972,0.1862765914430757,9,tarapoto,2012,2012-02-01,2
3,3.551346434487237,0.213725840725984,9,tarapoto,2012,2012-03-01,2
4,3.6691203984347256,0.13309566859325656,11,tarapoto,2012,2012-04-01,2
5,3.6406574760164534,0.11755469726174123,14,tarapoto,2012,2012-05-01,2
6,3.5844696851877065,0.11826038382316129,13,tarapoto,2012,2012-06-01,2
7,3.547939825057983,0.1512376356181532,15,tarapoto,2012,2012-07-01,2
8,3.486821547150612,0.18243393131295016,16,tarapoto,2012,2012-08-01,2
9,3.496567487716675,0.1287623600696261,16,tarapoto,2012,2012-09-01,2
10,3.259460926055908,0.2154616910643682,14,tarapoto,2012,2012-10-01,2
11,3.5120587782426314,0.18128614552281433,11,tarapoto,2012,2012-11-01,2
12,3.7886307673020796,0.2551784574936901,11,tarapoto,2012,2012-12-01,2
1,3.708363950252533,0.33662064394897057,12,tarapoto,2013,2013-01-01,2
2,3.9947147687276203,0.3375508019244539,15,tarapoto,2013,2013-02-01,2
3,4.21821209362575,0.19037709579422826,14,tarapoto,2013,2013-03-01,2
4,4.203531761964162,0.14571500705500737,12,tarapoto,2013,2013-04-01,2
5,3.955650582909584,0.17170176037875942,16,tarapoto,2013,2013-05-01,2
6,4.14970862865448,0.26067203186183563,14,tarapoto,2013,2013-06-01,2
7,4.100748630670401,0.22424280732951687,13,tarapoto,2013,2013-07-01,2
8,3.947916094462077,0.18735414402949183,15,tarapoto,2013,2013-08-01,2
9,3.8520861012595042,0.154266040395401,14,tarapoto,2013,2013-09-01,2
10,3.6514047145843507,0.16884951932670342,15,tarapoto,2013,2013-10-01,2
11,3.607431021603671,0.1556028626190041,11,tarapoto,2013,2013-11-01,2
12,3.7145469869886125,0.19495373204292685,14,tarapoto,2013,2013-12-01,2
1,3.5707098353992808,0.1955285413423287,11,tarapoto,2014,2014-01-01,2
2,3.54420052875172,0.1734281041331135,11,tarapoto,2014,2014-02-01,2
3,3.7006608077457974,0.12041731645653425,14,tarapoto,2014,2014-03-01,2
4,3.6805228193600974,0.1326923461644136,12,tarapoto,2014,2014-04-01,2
5,3.6314938408987865,0.2180923490566537,14,tarapoto,2014,2014-05-01,2
6,3.5905194793428694,0.10282220565874027,14,tarapoto,2014,2014-06-01,2
7,3.5391533034188405,0.12749466898547424,14,tarapoto,2014,2014-07-01,2
8,3.387430254618327,0.16017464965788916,15,tarapoto,2014,2014-08-01,2
9,3.359947144985199,0.17595801546343506,12,tarapoto,2014,2014-09-01,2
10,3.331310327236469,0.0972469949039721,13,tarapoto,2014,2014-10-01,2
11,3.4432774611881802,0.10259795199333467,14,tarapoto,2014,2014-11-01,2
12,3.3746142387390137,0.1160491393562176,12,tarapoto,2014,2014-12-01,2
1,3.3320282101631165,0.15803297327654545,12,tarapoto,2015,2015-01-01,2
2,3.4292807817459106,0.16339088545458902,10,tarapoto,2015,2015-02-01,2
3,3.624653434753418,0.1278506637547491,15,tarapoto,2015,2015-03-01,2
4,3.5565671053799717,0.14198480514529413,11,tarapoto,2015,2015-04-01,2
5,3.878477591734666,0.17926510154595104,13,tarapoto,2015,2015-05-01,2
6,4.126915846552167,0.21221333902323838,14,tarapoto,2015,2015-06-01,2
7,4.202560265858968,0.20555851281923676,15,tarapoto,2015,2015-07-01,2
8,4.168087959289551,0.1736944964946319,16,tarapoto,2015,2015-08-01,2
9,4.124636098742485,0.21873698112539997,16,tarapoto,2015,2015-09-01,2
10,3.845291316509247,0.19670520805164995,16,tarapoto,2015,2015-10-01,2
11,3.8052528381347654,0.12197336450417375,10,tarapoto,2015,2015-11-01,2
12,3.6068232357501984,0.16731134235518705,16,tarapoto,2015,2015-12-01,2
1,3.5232420603434247,0.1345965110643505,15,tarapoto,2016,2016-01-01,2
2,3.5077540715535482,0.17010151454040667,15,tarapoto,2016,2016-02-01,2
3,3.6175588028771535,0.13750030196122848,14,tarapoto,2016,2016-03-01,2
4,3.7334595918655396,0.27014699689169913,8,tarapoto,2016,2016-04-01,2
5,3.737092653910319,0.218589759276163,12,tarapoto,2016,2016-05-01,2
6,3.7518720785776773,0.18064244191938672,15,tarapoto,2016,2016-06-01,2
7,3.794733226299286,0.22326576216478244,16,tarapoto,2016,2016-07-01,2
8,3.789987415075302,0.15316200316129386,16,tarapoto,2016,2016-08-01,2
9,3.7468980825864353,0.15059749252377688,13,tarapoto,2016,2016-09-01,2
10,3.7016507387161255,0.16731534427281325,16,tarapoto,2016,2016-10-01,2
11,3.5824511784773607,0.16085996226495397,13,tarapoto,2016,2016-11-01,2
12,3.553755219777425,0.15049828404716092,15,tarapoto,2016,2016-12-01,2
1,3.5617400805155435,0.16821379565624484,15,tarapoto,2017,2017-01-01,2
2,3.5246317386627197,0.11685992930869935,12,tarapoto,2017,2017-02-01,2
3,3.6250494519869485,0.1796817817835185,12,tarapoto,2017,2017-03-01,2
4,3.6742612634386336,0.15627043783483874,14,tarapoto,2017,2017-04-01,2
5,3.817552464348929,0.12958024198864126,14,tarapoto,2017,2017-05-01,2
6,3.575007145221417,0.11725477401764392,13,tarapoto,2017,2017-06-01,2
7,3.4745511561632156,0.14034833801796623,16,tarapoto,2017,2017-07-01,2
8,3.31015552007235,0.11794579760254953,13,tarapoto,2017,2017-08-01,2
9,3.3372361024220782,0.10452351805712541,15,tarapoto,2017,2017-09-01,2
10,3.4252382665872574,0.09720535349363534,16,tarapoto,2017,2017-10-01,2
11,3.4658385068178177,0.1138487620140882,16,tarapoto,2017,2017-11-01,2
12,3.3542917370796204,0.1717773100667951,16,tarapoto,2017,2017-12-01,2
1,3.4078394174575806,0.1518150170498491,14,tarapoto,2018,2018-01-01,2
2,3.2120669398988997,0.15290386781566068,14,tarapoto,2018,2018-02-01,2
3,3.360010709081377,0.15189248563661578,14,tarapoto,2018,2018-03-01,2
4,3.6376541455586753,0.2061717193468057,15,tarapoto,2018,2018-04-01,2
5,3.537904843688011,0.19180431922663674,16,tarapoto,2018,2018-05-01,2
6,3.525685024261475,0.11938438881912425,5,tarapoto,2018,2018-06-01,2
7,3.591977940665351,0.2106538594813732,9,tarapoto,2018,2018-07-01,2
8,3.814717411994934,0.23574629398562827,16,tarapoto,2018,2018-08-01,2
9,4.0131975710392,0.2919276790393042,16,tarapoto,2018,2018-09-01,2
10,4.042340000470479,0.2417920755248728,12,tarapoto,2018,2018-10-01,2
11,4.214133637292044,0.3639798711478124,14,tarapoto,2018,2018-11-01,2
12,3.9439587394396463,0.2539773472342682,12,tarapoto,2018,2018-12-01,2
1,3.8364567245755876,0.1680879727548116,14,tarapoto,2019,2019-01-01,2
2,3.941140761742225,0.23177190189365982,13,tarapoto,2019,2019-02-01,2
3,3.9909918506940207,0.1529267775059459,12,tarapoto,2019,2019-03-01,2
4,3.910212198893229,0.15927457544316137,12,tarapoto,2019,2019-04-01,2
5,3.821808115641276,0.13626714433956413,15,tarapoto,2019,2019-05-01,2
6,3.6876419484615326,0.17843904601998403,16,tarapoto,2019,2019-06-01,2
7,3.415691614151001,0.23480577781104864,16,tarapoto,2019,2019-07-01,2
8,3.347097175461905,0.15515432769107215,14,tarapoto,2019,2019-08-01,2
9,3.369546890258789,0.15615475879019242,14,tarapoto,2019,2019-09-01,2
10,3.332984004701887,0.2325353783017811,14,tarapoto,2019,2019-10-01,2
11,3.4537904113531113,0.24170602899708124,16,tarapoto,2019,2019-11-01,2
12,3.386208176612854,0.2406814501003874,12,tarapoto,2019,2019-12-01,2
1,3.564541608095169,0.1766915747276583,16,tarapoto,2020,2020-01-01,2
2,3.681063652038574,0.1500690880336425,13,tarapoto,2020,2020-02-01,2
3,3.811733055114746,0.2443855919249071,15,tarapoto,2020,2020-03-01,2
4,3.74711283047994,0.1838476320739325,15,tarapoto,2020,2020-04-01,2
5,3.7543220072984695,0.15676430896115112,16,tarapoto,2020,2020-05-01,2
6,3.8251697833721456,0.22127962487090289,13,tarapoto,2020,2020-06-01,2
7,3.98348169028759,0.20465416599355785,16,tarapoto,2020,2020-07-01,2
8,3.737292153494699,0.14126426404336864,14,tarapoto,2020,2020-08-01,2
9,3.7925728218896047,0.12063703818648684,14,tarapoto,2020,2020-09-01,2
10,3.8148364226023355,0.15995969899074636,15,tarapoto,2020,2020-10-01,2
11,3.827590124947684,0.12511949315538684,14,tarapoto,2020,2020-11-01,2
12,3.5422367866222677,0.1977307159395183,13,tarapoto,2020,2020-12-01,2
1,3.44411002099514,0.15515599472407088,16,tarapoto,2021,2021-01-01,2
2,3.5895496129989626,0.20492539328855652,10,tarapoto,2021,2021-02-01,2
3,3.8800721645355223,0.12033395163986414,15,tarapoto,2021,2021-03-01,2
4,3.709897836049398,0.21794933503946315,15,tarapoto,2021,2021-04-01,2
5,3.7335186203320823,0.17291729453000218,12,tarapoto,2021,2021-05-01,2
6,3.6748753984769187,0.08907041909389181,12,tarapoto,2021,2021-06-01,2
7,3.616913989186287,0.12430240589077002,16,tarapoto,2021,2021-07-01,2
8,3.5640599578619003,0.15284964863591063,16,tarapoto,2021,2021-08-01,2
9,3.6899413892201016,0.11994747654627749,14,tarapoto,2021,2021-09-01,2
10,3.5631196158272878,0.09584583834269472,14,tarapoto,2021,2021-10-01,2
11,3.466304063796997,0.203854635199307,11,tarapoto,2021,2021-11-01,2
12,3.4747837441308156,0.14970096562619162,14,tarapoto,2021,2021-12-01,2
1,3.821840832630793,0.2771225449787071,24,tasmania,2005,2005-01-01,3
2,3.9367680284712048,0.21528850595557616,18,tasmania,2005,2005-02-01,3
3,3.823776384194692,0.1404048910320434,24,tasmania,2005,2005-03-01,3
4,4.258348260607038,0.150794397650691,21,tasmania,2005,2005-04-01,3
5,4.398833441734314,0.2938595117819831,20,tasmania,2005,2005-05-01,3
6,4.787874720313332,0.26984513211302685,22,tasmania,2005,2005-06-01,3
7,4.84085088968277,0.27567749182846496,24,tasmania,2005,2005-07-01,3
8,4.766350130240123,0.3072018035278462,24,tasmania,2005,2005-08-01,3
9,4.749072694778443,0.09944977617649327,20,tasmania,2005,2005-09-01,3
10,4.630852063496907,0.16530988852225004,18,tasmania,2005,2005-10-01,3
